#歌名	歌手	专辑	LX来源	LX来源ID	其他来源(平台:ID)	原歌单
红昭愿	音阙诗听	诗	qq	002IWBxU47dwlj	qq:002IWBxU47dwlj	pop(QQ)
时间煮雨	郁可唯	小时代1：折纸时代 电影原声带	qq	000nIBkR4WmTd9	qq:000nIBkR4WmTd9	pop(QQ)
最美的期待	周笔畅	最美的期待	qq	003YC3p31HyR96	qq:003YC3p31HyR96	pop(QQ)
给我一个理由忘记	A-Lin	寂寞不痛（金曲闪耀影音珍藏盘）	qq	000so2FU3l67yw	qq:000so2FU3l67yw	pop(QQ)
烟火里的尘埃	华晨宇	卡西莫多的礼物	qq	000AejPt3Zm9N6	qq:000AejPt3Zm9N6	pop(QQ)
野子	苏运莹	第二季中国好歌曲十大金曲	qq	001PedLg4dakYI	qq:001PedLg4dakYI	pop(QQ)
带我去找夜生活	告五人	带我去找夜生活	qq	000lu1gN36aAO9	qq:000lu1gN36aAO9	pop(QQ)
岛屿	棱镜乐队	石头想有糖的温度	qq	004BQv0b4azxPs	qq:004BQv0b4azxPs	pop(QQ)
爱在夏天	告五人	爱在夏天	qq	001LaNSq04o0EC	qq:001LaNSq04o0EC	pop(QQ)
叶子	田馥甄	Love! To Hebe 影音馆Live	qq	001uxdAz3JBviW	qq:001uxdAz3JBviW	pop(QQ)
执迷不悟	鱿籽酱	执迷不悟	qq	000uFiJ13sxDwu	qq:000uFiJ13sxDwu	pop(QQ)
愿得一心人	周深	愿得一心人	qq	00251Bz50yMRcf	qq:00251Bz50yMRcf	pop(QQ)
凡人	段奥娟	凡人修仙传 第一季  动画剧原声带	qq	003MrV774NKohD	qq:003MrV774NKohD	pop(QQ)
如果这就是爱情	卡捷琳娜（Katya）	如果这就是爱情(正式版)	qq	001oKX2d4dkJGw	qq:001oKX2d4dkJGw	pop(QQ)
最近	吕口口	最近 (女生版)	qq	001E1QyK3lU1bs	qq:001E1QyK3lU1bs	pop(QQ)
爱你	王贰浪	爱你	qq	002wJ3Ht0vNu5u	qq:002wJ3Ht0vNu5u	pop(QQ)
他不懂	张杰	跨年演唱会2013-2014 华语篇	qq	000qG7KZ1gf1En	qq:000qG7KZ1gf1En	pop(QQ)
说爱你	刘至佳	说爱你	qq	0022fsjW39a0zG	qq:0022fsjW39a0zG	pop(QQ)
MOM	蜡笔小心Carrie	MOM	qq	001CEpvB26jFhy	qq:001CEpvB26jFhy	pop(QQ)
万有引力	F*yy	万有引力	qq	002KKfff4MgFzh	qq:002KKfff4MgFzh	pop(QQ)
像我这样的人	毛不易	明日之子 第8期	qq	00375L600p9sxv	qq:00375L600p9sxv	pop(QQ)
界限 (博君一肖同人曲)	阿七本七		qq	002Ivgld0mt0Xz	qq:002Ivgld0mt0Xz	pop(QQ)
太阳	Mr.Right	太阳	qq	001k436q28cWtl	qq:001k436q28cWtl	pop(QQ)
食色	音阙诗听 / 林清弄	听	qq	003iQCV71F3Sda	qq:003iQCV71F3Sda	pop(QQ)
我愿意平凡的陪在你身旁	王七七	我愿意平凡的陪在你身旁	qq	000GTvsD0OzVPM	qq:000GTvsD0OzVPM	pop(QQ)
Burn	蔡恩雨	Burn	qq	000FKn432RENdw	qq:000FKn432RENdw	pop(QQ)
独家记忆	王超群	独家记忆	qq	003rDlYG0AV3eN	qq:003rDlYG0AV3eN	pop(QQ)
你的答案	阿冗	把爱都给你	qq	0048cLQy1WMabs	qq:0048cLQy1WMabs	pop(QQ)
世间美好与你环环相扣	柏松	听闻余生	qq	004XRSad40aO3E	qq:004XRSad40aO3E	pop(QQ)
漂向北方	黄明志Namewee / G.E.M.邓紫棋		qq	0042xUPZ1TFV58	qq:0042xUPZ1TFV58	pop(QQ)
麻雀	李荣浩	麻雀	qq	000lv3Zi13dSVA	qq:000lv3Zi13dSVA	pop(QQ)
关于孤独我想说的话	隔壁老樊_樊凯杰	我曾	qq	002rE19H4WxOJo	qq:002rE19H4WxOJo	pop(QQ)
慢慢喜欢你	莫文蔚	我们在中场相遇	qq	002kkJSE0IeS1F	qq:002kkJSE0IeS1F	pop(QQ)
无名之辈	陈雪燃	亲爱的，热爱的 影视原声带	qq	004M1eG80Zc3DZ	qq:004M1eG80Zc3DZ	pop(QQ)
温暖	黄星瑞_RA / 靳东	温暖	qq	0040jIMT3eDW4o	qq:0040jIMT3eDW4o	pop(QQ)
去年夏天	王大毛	去年夏天	qq	004XePmv4CsaEq	qq:004XePmv4CsaEq	pop(QQ)
勾指起誓	泠鸢yousa	泠鸢yousa的翻唱电台	qq	001N2Ymh2QMeI2	qq:001N2Ymh2QMeI2	pop(QQ)
你的酒馆对我打了烊	陈雪凝	陈雪凝 - 你的酒馆对我打了烊 (DJ 敏少 ReMix)	qq	000i66vj3lEDc8	qq:000i66vj3lEDc8	pop(QQ)
体面	夏雨菲	体面	qq	003WsWkv3G1Kzs	qq:003WsWkv3G1Kzs	pop(QQ)
绿色	陈雪凝	绿色	qq	0021rBlZ1gQiLy	qq:0021rBlZ1gQiLy	pop(QQ)
打上花火	米津玄師	BOOTLEG	qq	001RaE0n4RrGX9	qq:001RaE0n4RrGX9	pop(QQ)
云烟成雨	房东的猫	云烟成雨	qq	001yYM0I30CzdP	qq:001yYM0I30CzdP	pop(QQ)
公园	花粥	很多无处存放的歌曲	qq	001nstxq2M3XEd	qq:001nstxq2M3XEd	pop(QQ)
遇见	伦桑	遇见	qq	002bFuAj0upffJ	qq:002bFuAj0upffJ	pop(QQ)
起风了	买辣椒也用券	起风了 (旧版)	qq	0004jPDk2eB2dt	qq:0004jPDk2eB2dt	pop(QQ)
继续 Demo	Nacho	Demo杂集	qq	002UvGcO2hpUxU	qq:002UvGcO2hpUxU	pop(QQ)
不觉晴光老	江城原创音乐团队	不觉晴光老	qq	001ofo3L1WVdPV	qq:001ofo3L1WVdPV	pop(QQ)
有点甜	汪苏泷 / BY2	万有引力	qq	001bdYk41BCfRi	qq:001bdYk41BCfRi	pop(QQ)
爱情转移	陈奕迅	爱情呼叫转移	qq	004ff6bV3wHhjt	qq:004ff6bV3wHhjt	pop(QQ)
后会无期	徐良 / 汪苏泷	不良少年	qq	004gZy7l1GYJ1Q	qq:004gZy7l1GYJ1Q	pop(QQ)
可乐	赵紫骅	可乐	qq	000rExbG03qRId	qq:000rExbG03qRId	pop(QQ)
牵丝戏	萧玄	古风萧玄2	qq	000akMVE2ji3xj	qq:000akMVE2ji3xj	pop(QQ)
山外小楼夜听雨	任然	从小到大	qq	001hoRPW23jSPU	qq:001hoRPW23jSPU	pop(QQ)
爱呀	金玟岐	金玟岐作品集	qq	000WMMNx0tHnhW	qq:000WMMNx0tHnhW	pop(QQ)
采茶纪	双笙 (陈元汐)	原创歌曲合集	qq	004Kxue107QgYM	qq:004Kxue107QgYM	pop(QQ)
凉凉	于毅 / 娄艺潇	跨界歌王第二季 第7期	qq	003eGWr82qtmTw	qq:003eGWr82qtmTw	pop(QQ)
曾经的你	许巍	每一刻都是崭新的	qq	004XcdPX08dOus	qq:004XcdPX08dOus	pop(QQ)
终于等到你	张靓颖	第七感	qq	003dIT9t46SLw8	qq:003dIT9t46SLw8	pop(QQ)
我的天空	南征北战NZBZ	青春派 电影原声带	qq	0043WGTm3kacAQ	qq:0043WGTm3kacAQ	pop(QQ)
被驯服的象	蔡健雅	天使与魔鬼的对话	qq	004AUBNe2ayqrK	qq:004AUBNe2ayqrK	pop(QQ)
最后的旅行	Rainton桐		qq	0017OcfA2YPamM	qq:0017OcfA2YPamM ; qq:002DZiEN0NUg2l	pop(QQ)
岁月神偷	金玟岐	金玟岐作品集	qq	003TzVsK1AaxJp	qq:003TzVsK1AaxJp	pop(QQ)
匿名的好友	杨丞琳	杨丞琳 再见 青春 极精选	qq	003VkPGS4WSyvP	qq:003VkPGS4WSyvP	pop(QQ)
晴天	周杰伦	叶惠美	qq	0039MnYb0qxYhV	qq:0039MnYb0qxYhV	pop(QQ)
再见	G.E.M.邓紫棋	新的心跳	qq	003sYHuC3aBd4r	qq:003sYHuC3aBd4r	pop(QQ)
劲歌. 金曲2 (情歌王)	古巨基	我还是你的 情歌王	qq	0010QsDk3bIpfB	qq:0010QsDk3bIpfB	pop(QQ)
绅士	薛之谦	绅士	qq	001CG3wA3QkuJS	qq:001CG3wA3QkuJS	pop(QQ)
理想三旬	陈鸿宇	众乐纪壹 迷城行歌	qq	001V9klI4cA5YA	qq:001V9klI4cA5YA	pop(QQ)
说散就散	JC 陈咏桐	说散就散	qq	0000IMz11ZP6GY	qq:0000IMz11ZP6GY	pop(QQ)
造梦者	以冬		qq	003QplkH3wXLIG	qq:003QplkH3wXLIG	pop(QQ)
你的微笑	F.I.R.飞儿乐团	爱恨一百年	qq	004fEznV1CqTHj	qq:004fEznV1CqTHj	pop(QQ)
恶作剧	王蓝茵	恶作剧之吻 电视剧原声带	qq	003mRf8u26lMMY	qq:003mRf8u26lMMY	pop(QQ)
当你	林俊杰	她说 概念自选辑	qq	001nUzRq0GgCVb	qq:001nUzRq0GgCVb	pop(QQ)
一笑倾城	汪苏泷	微微一笑很倾城 电视剧原声带	qq	002xMLIa1JcZk0	qq:002xMLIa1JcZk0	pop(QQ)
天后	陈势安	天后	qq	003J4Xjo1NJvck	qq:003J4Xjo1NJvck	pop(QQ)
风的季节	Soler	Canto	qq	001LrM7Q2mM7ZO	qq:001LrM7Q2mM7ZO	pop(QQ)
红色高跟鞋	蔡健雅	若你碰到他	qq	003IGhQO0JdnuC	qq:003IGhQO0JdnuC	pop(QQ)
退	蒋蒋	庸医	qq	001rjW8Z4ZhXiy	qq:001rjW8Z4ZhXiy	pop(QQ)
非酋	薛明媛 / 朱贺	非酋	qq	003Naz5p1bcB7h	qq:003Naz5p1bcB7h	pop(QQ)
遇见	杨搏		qq	003Q4NPg05HINt	qq:003Q4NPg05HINt	pop(QQ)
白月光与朱砂痣	大籽	白月光与朱砂痣	qq	002iqQ4I1wyB7L	qq:002iqQ4I1wyB7L	pop(QQ)
天外来物	薛之谦	天外来物	qq	0013WPvt4fQH2b	qq:0013WPvt4fQH2b	pop(QQ)
离家出走	卫兰	Do U Know...	wy	26039322	wy:26039322	粤语(网易云)
大哥	卫兰	叱吒新一代	wy	5256469	wy:5256469	粤语(网易云)
习惯失恋	容祖儿	Joey Yung X Hacken Lee Concert 2015	wy	40140636	wy:40140636	粤语(网易云)
真的爱你	Beyond	Beyond 怀旧经典金曲 Vol. 2	wy	1857483755	wy:1857483755	粤语(网易云)
我什么都没有	陈奕迅	DUO 陈奕迅2010演唱会	wy	64574	wy:64574	粤语(网易云)
不如不见	陈奕迅	What's Going On…?	wy	65769	wy:65769	粤语(网易云)
最冷一天	陈奕迅	ReImagine Leslie Cheung	wy	186331	wy:186331	粤语(网易云)
人来人往	陈奕迅	Get A Life (Live)	wy	65923	wy:65923	粤语(网易云)
K歌之王	陈奕迅	Get A Life (Live)	wy	65919	wy:65919	粤语(网易云)
明年今日	陈奕迅	Eason Moving On Stage 1 (Live)	wy	65312	wy:65312	粤语(网易云)
岁月如歌+兄妹	陈奕迅	陈奕迅 & 叶倩文 903 id Club 拉阔音乐会	wy	66524	wy:66524	粤语(网易云)
打回原形	陈奕迅	Eason Moving On Stage 1 (Live)	wy	65234	wy:65234	粤语(网易云)
信心花舍	陈奕迅	Eason Moving On Stage 1 (Live)	wy	65165	wy:65165	粤语(网易云)
忘记歌词	陈奕迅	Get A Life (Live)	wy	65890	wy:65890	粤语(网易云)
抱拥这分钟	陈奕迅	DUO 陈奕迅2010演唱会	wy	64578	wy:64578	粤语(网易云)
Shall We Talk	陈奕迅	Get A Life (Live)	wy	65855	wy:65855	粤语(网易云)
十面埋伏	陈奕迅	Get A Life (Live)	wy	65904	wy:65904	粤语(网易云)
无人之境	陈奕迅	Time Flies	wy	64625	wy:64625	粤语(网易云)
陀飞轮	陈奕迅	Time Flies	wy	64638	wy:64638	粤语(网易云)
单车	陈奕迅	DUO 陈奕迅2010演唱会	wy	64561	wy:64561	粤语(网易云)
倾城	陈奕迅	Concert YY 黄伟文作品展 演唱会	wy	27867449	wy:27867449	粤语(网易云)
一丝不挂	陈奕迅	Time Flies	wy	64634	wy:64634	粤语(网易云)
幸福摩天轮	陈奕迅	Eason's Life 陈奕迅2013演唱会	wy	28160877	wy:28160877	粤语(网易云)
与我常在	陈奕迅	DUO 陈奕迅2010演唱会	wy	64522	wy:64522	粤语(网易云)
月球上的人	陈奕迅	Solidays 新曲+精选	wy	64962	wy:64962	粤语(网易云)
富士山下	陈奕迅	Solidays 新曲+精选	wy	64956	wy:64956	粤语(网易云)
黑择明	陈奕迅	Solidays 新曲+精选	wy	64946	wy:64946	粤语(网易云)
裙下之臣	陈奕迅	Solidays 新曲+精选	wy	64936	wy:64936	粤语(网易云)
苦瓜	陈奕迅	Stranger Under My Skin	wy	64293	wy:64293	粤语(网易云)
碌卡	陈奕迅	...3mm	wy	64026	wy:64026	粤语(网易云)
落花流水	陈奕迅	Life Continues…	wy	65802	wy:65802	粤语(网易云)
最佳损友	陈奕迅	Life Continues…	wy	65800	wy:65800	粤语(网易云)
神奇化妆师	陈奕迅	？	wy	64141	wy:64141	粤语(网易云)
张氏情歌	陈奕迅	？	wy	64111	wy:64111	粤语(网易云)
三个人的探戈	陈奕迅	U87	wy	66288	wy:66288	粤语(网易云)
葡萄成熟时	陈奕迅	U87	wy	66285	wy:66285	粤语(网易云)
浮夸	陈奕迅	U87	wy	66282	wy:66282	粤语(网易云)
阿牛	陈奕迅	U87	wy	66265	wy:66265	粤语(网易云)
沙龙	陈奕迅	H³M	wy	64833	wy:64833	粤语(网易云)
不来也不去	陈奕迅	H³M	wy	64829	wy:64829	粤语(网易云)
七百年后	陈奕迅	H³M	wy	64815	wy:64815	粤语(网易云)
于心有愧	陈奕迅	H³M	wy	64797	wy:64797	粤语(网易云)
床头床尾	陈奕迅	The Key	wy	27483199	wy:27483199	粤语(网易云)
失忆蝴蝶	陈奕迅	The Key	wy	27483203	wy:27483203	粤语(网易云)
远在咫尺	陈奕迅	The Key	wy	27483206	wy:27483206	粤语(网易云)
任我行	陈奕迅	The Key	wy	27483202	wy:27483202	粤语(网易云)
斯德哥尔摩情人	陈奕迅	The Key	wy	27483204	wy:27483204	粤语(网易云)
主旋律	陈奕迅	The Key	wy	26523013	wy:26523013	粤语(网易云)
粤语残片	陈奕迅	What's Going On…?	wy	65778	wy:65778	粤语(网易云)
让一切随风	钟镇涛	听涛	wy	194769	wy:194769	粤语(网易云)
海阔天空	Beyond	海阔天空	wy	347230	wy:347230	粤语(网易云)
喜帖街	谢安琪	Binary	wy	308299	wy:308299	粤语(网易云)
倩女幽魂	张国荣	Ultimate	wy	188175	wy:188175	粤语(网易云)
唉声叹气	郑秀文	Sammi Ultimate Collection	wy	328153	wy:328153	粤语(网易云)
狮子山下	罗文	Denon Mastersonic 罗文	wy	25638765	wy:25638765	粤语(网易云)
戒不掉(原声版)	欧阳耀莹	戒不掉（原声版）	wy	1299889486	wy:1299889486	粤语(网易云)
吴哥窟	吴雨霏	我本人	wy	298258	wy:298258	粤语(网易云)
春夏秋冬	张国荣	I Am What I Am	wy	186453	wy:186453	粤语(网易云)
飘雪	陈慧娴	归来吧	wy	212430	wy:212430	粤语(网易云)
少女的祈祷	杨千嬅	Kiss Me Soft avep1	wy	29593497	wy:29593497 ; wy:67249	粤语(网易云)
Where Did U Go	G.E.M.邓紫棋	G.E.M.	wy	234064	wy:234064	粤语(网易云)
月半小夜曲	李克勤	经典金曲	wy	115162	wy:115162	粤语(网易云)
一生中最爱	谭咏麟	一生中最爱	wy	153784	wy:153784	粤语(网易云)
失恋王	陈小春	失恋王	wy	64006	wy:64006	粤语(网易云)
前所未见	陈慧琳	Stylish Index(第2版)	wy	213673	wy:213673	粤语(网易云)
最爱	周慧敏	最爱	wy	329925	wy:329925	粤语(网易云)
Night Star	SimYee陈芯怡 / Mr.16罗隽永	Night Star	wy	1315568574	wy:1315568574	粤语(网易云)
安守本份 2017	谷娅溦	安守本份 2017	wy	559261010	wy:559261010	粤语(网易云)
傻女	陈慧娴	陈慧娴金曲精选26首	wy	212376	wy:212376	粤语(网易云)
面具	许廷铿	Blue蓝调	wy	174122	wy:174122	粤语(网易云)
爱得太迟	古巨基	Human 我生	wy	86477	wy:86477	粤语(网易云)
不只爱情	区文诗	Angela	wy	280389	wy:280389	粤语(网易云)
越难越爱	吴若希	越难越爱 Love Collection 精选	wy	29759373	wy:29759373	粤语(网易云)
无赖	郑中基	怪胎	wy	191046	wy:191046	粤语(网易云)
小白	周柏豪	小白	wy	30245576	wy:30245576	粤语(网易云)
红玫瑰	陈奕迅	认了吧	wy	65533	wy:65533	粤语(网易云)
白玫瑰	陈奕迅	What's Going On…?	wy	65761	wy:65761	粤语(网易云)
够钟	周柏豪	Follow	wy	191528	wy:191528	粤语(网易云)
天梯	李克勤	我是歌手第四季 第10期	wy	407002484	wy:407002484	粤语(网易云)
七友	梁汉文	梁汉文集	wy	118261	wy:118261	粤语(网易云)
爱与诚	古巨基	大雄	wy	86849	wy:86849	粤语(网易云)
光辉岁月	Beyond	Beyond 24K Gold 金碟至尊精选	wy	32701160	wy:32701160	粤语(网易云)
恋上外星人	张智霖	ChiLam What is Love IIOII	wy	192339	wy:192339	粤语(网易云)
Dehors	JORDANN	Dehors	wy	1815725297	wy:1815725297	Sing(网易云)
She	Jami Soul / Mr. Bang / 시나에	여보세요	wy	5307435	wy:5307435	Sing(网易云)
Where Is The Love?	Black Eyed Peas / Justin Timberlake	Where Is The Love?	wy	16808807	wy:16808807	Sing(网易云)
Keep You Mine	NOTD / SHY Martin	Keep You Mine	wy	1381706037	wy:1381706037	Sing(网易云)
Aloha Heja He	Achim Reichel	Melancholie und Sturmflut	wy	32337953	wy:32337953	Sing(网易云)
Where'd You Go	Fort Minor / Skylar Grey / Jonah Matranga	Where'd You Go	wy	1345171	wy:1345171	Sing(网易云)
Touch	3LAU / Carly Paige	Ultraviolet	wy	534228257	wy:534228257	Sing(网易云)
Bleeding Love	Leona Lewis	Bleeding Love	wy	2923416	wy:2923416	Sing(网易云)
How Far I'll Go	Auli'i Cravalho	Moana (Original Motion Picture Soundtrack) [Deluxe Edition]	wy	441102482	wy:441102482	Sing(网易云)
Break Up In A Small Town	Sam Hunt	Montevallo	wy	29592100	wy:29592100	Sing(网易云)
Lemon Tree	Fool's Garden	Lemon Tree	wy	1300270666	wy:1300270666	Sing(网易云)
Holy Grail	Adieu	Holy Grail (Adieu Remix)	wy	37092830	wy:37092830	Sing(网易云)
Shots	Imagine Dragons	Shots	wy	30373640	wy:30373640 ; wy:31789010	Sing(网易云)
Natural	Imagine Dragons	Origins (Deluxe)	wy	1294378245	wy:1294378245	Sing(网易云)
Warriors	Imagine Dragons	Warriors (Official Anthem of League of Legends 2014 World Championship)	wy	29401226	wy:29401226	Sing(网易云)
Fly Me To The Moon	Olivia Ong	Audiophile Selection	wy	26118397	wy:26118397	Sing(网易云)
Battle Symphony	Linkin Park	One More Light	wy	460043748	wy:460043748	Sing(网易云)
Sober Up	AJR / Rivers Cuomo	The Click	wy	487454612	wy:487454612	Sing(网易云)
Let The Games Begin	AJR	Let The Games Begin	wy	36102468	wy:36102468	Sing(网易云)
Bud Like You	AJR	The Click	wy	487454620	wy:487454620	Sing(网易云)
Wrap Me in Plastic	CHROMANCE / Marcus Layton	Wrap Me in Plastic	wy	1383205688	wy:1383205688	Sing(网易云)
Someone Like You	Adele	Someone Like You	wy	16435049	wy:16435049	Sing(网易云)
ロマンティックあげるよ	橋本潮	ドラゴンボール全曲集	wy	4989685	wy:4989685	Sing(网易云)
Waiting For Love	Avicii / Martin Garrix / Simon Aldred	Waiting For Love	wy	31356499	wy:31356499	Sing(网易云)
See You Again	Boyce Avenue / Bea Miller	Cover Sessions, Vol. 4	wy	33941662	wy:33941662	Sing(网易云)
colorblind	Mokita	colorblind	wy	1401899720	wy:1401899720	Sing(网易云)
All This Time	Britt Nicole	All This Time (Performance Tracks)	wy	2189841	wy:2189841	Sing(网易云)
Waterfall	Joni	A Dal 2014	wy	28251526	wy:28251526	Sing(网易云)
Don't Push Me	Sweetbox	Complete Best Classic Flavors	wy	461347162	wy:461347162	Sing(网易云)
Try	P!nk	NRJ 200% Hits 2013	wy	26362173	wy:26362173	Sing(网易云)
Waiting	Vicetone / Daisy Guttridge	Waiting	wy	1364530152	wy:1364530152	Sing(网易云)
Minefields	Faouzia / John Legend	Minefields	wy	1489234729	wy:1489234729	Sing(网易云)
I wanted you	Ina Wroldsen	Suddenly	wy	2772113	wy:2772113	Sing(网易云)
Chaperone	Hurts	Desire	wy	509531459	wy:509531459	Sing(网易云)
Superheroes	The Script	No Sound Without Silence	wy	29307029	wy:29307029	Sing(网易云)
Can We Kiss Forever?	Kina	Can We Kiss Forever?	wy	1306507078	wy:1306507078	Sing(网易云)
Up&Up (Radio Edit)	Coldplay	Up&Up (Radio Edit)	wy	409931456	wy:409931456	Sing(网易云)
I Am You	Kim Taylor	I Am You	wy	2919622	wy:2919622	Sing(网易云)
Never Our Fault	Lucas Estrada	Never Our Fault	wy	1310022346	wy:1310022346	Sing(网易云)
Prayer X	King Gnu	Prayer X	wy	1299557936	wy:1299557936	Sing(网易云)
Lights	Ellie Goulding	Lights	wy	17654232	wy:17654232	Sing(网易云)
Unstoppable	Sia	This Is Acting	wy	400876320	wy:400876320	Sing(网易云)
Let Me In	Nomi	Let Me In	wy	28941851	wy:28941851	Sing(网易云)
Sooner or Later	Mat Kearney	Young Love (Deluxe Edition)	wy	1703053	wy:1703053	Sing(网易云)
Stitches	Sam Tsui	Sam Tsui Covers Vol.3	wy	36198480	wy:36198480	Sing(网易云)
What Makes You Beautiful	Marc Sean	Covered in Covers, Vol. 1	wy	1076292	wy:1076292	Sing(网易云)
Always Getting Over You	Angela Ammons	Angela Ammons	wy	2118992	wy:2118992	Sing(网易云)
Everything's Alright	塞壬唱片-MSR / DJ OKAWARI / 澤田かおり	Everything's Alright	wy	1460626792	wy:1460626792	Sing(网易云)
I Want It That Way	Backstreet Boys	I Want It That Way	wy	3950552	wy:3950552	Sing(网易云)
I'm So Sorry	Hearts & Colors	I'm So Sorry	wy	1373168761	wy:1373168761	Sing(网易云)
Bleeding Love	Boyce Avenue	Cover Sessions, Vol. 5	wy	27386720	wy:27386720	Sing(网易云)
You Ruin Me	The Veronicas	You Ruin Me	wy	29407327	wy:29407327	Sing(网易云)
Who I Am	David Archuleta	The Other Side of Down (Deluxe Edition)	wy	17241366	wy:17241366	Sing(网易云)
They Don't Know About Us	One Direction	Take Me Home	wy	25882982	wy:25882982	Sing(网易云)
Heroes Tonight	Janji / Johnning	Heroes Tonight	wy	32640115	wy:32640115	Sing(网易云)
Constellation	Far Out / Karra	Constellation	wy	1429604070	wy:1429604070	Sing(网易云)
Rodeo	Robbie Nova	The Introduction	wy	28312036	wy:28312036	Sing(网易云)
Dancing With a Stranger	Boyce Avenue / Emma Heesters	Dancing With a Stranger	wy	1401481617	wy:1401481617	Sing(网易云)
I Will Always Love You	Whitney Houston	I Will Always Love You	wy	3819561	wy:3819561	Sing(网易云)
LA On A Saturday Night	Hearts & Colors	LA On A Saturday Night (Acoustic)	wy	1327877878	wy:1327877878	Sing(网易云)
Everything Falls	Fee	Hope Rising	wy	17804651	wy:17804651	Sing(网易云)
Timeless	SG Wannabe	I LOVE sg WANNA BE+(通常盤)	wy	1317331223	wy:1317331223	Sing(网易云)
Loving Strangers	Jocelyn Pook / Russian Red	Habitación En Roma	wy	2788529	wy:2788529	Sing(网易云)
Leavin' Tomorrow	Goodnight Stand	꿈으로 와요	wy	481854957	wy:481854957	Sing(网易云)
LAST STARDUST	Aimer	DAWN	wy	33418857	wy:33418857	Sing(网易云)
Rewrite The Stars	Zac Efron / Zendaya	The Greatest Showman (Original Motion Picture Soundtrack)	wy	519362960	wy:519362960	Sing(网易云)
Let It Go (From "Frozen"/Soundtrack Version)	Idina Menzel	Frozen (Original Motion Picture Soundtrack / Deluxe Edition)	wy	28031119	wy:28031119	Sing(网易云)
Someone To You	BANNERS	Someone To You	wy	482988403	wy:482988403	Sing(网易云)
Nothing's Gonna Change My Love For You	Westlife	The Rose	wy	2080326	wy:2080326	Sing(网易云)
Do You Want to Build a Snowman? (From "Frozen"/Soundtrack Version)	Kristen Bell / Agatha Lee Monn / Katie Lopez	Frozen (Original Motion Picture Soundtrack / Deluxe Edition)	wy	28031114	wy:28031114	Sing(网易云)
Believe Me (feat. Bobo & Styles Of Beyond)	Fort Minor / Eric Bobo / Styles of Beyond	The Rising Tied	wy	1345043	wy:1345043	Sing(网易云)
Just the Way You Are	Bruno Mars	The Brit Awards Album 2011	wy	5093684	wy:24197377 ; wy:5093684	Sing(网易云)
Boulevard of Broken Dreams	Green Day	2006 Grammy Nominees	wy	5180484	wy:5180484	Sing(网易云)
Way Back Home (Sam Feldt Edit)	SHAUN / Conor Maynard / Sam Feldt	Way Back Home (Sam Feldt Edit) (Download Ver.)	wy	1334246005	wy:1334246005	Sing(网易云)
I don't wanna see u anymore	NINEONE#乃万	I don't wanna see u anymore	wy	528326686	wy:528326686	Sing(网易云)
Taylor Swift - Love Story (Chr1s Bootleg)	Chr1s	Love Story (Chr1s Bootleg)	wy	489500309	wy:489500309	Sing(网易云)
Read All About It	THEO	I'll Be Your Hero	wy	406885489	wy:406885489	Sing(网易云)
Never Enough	Boyce Avenue	Cover Sessions, Vol. 5	wy	1401695791	wy:1401695791	Sing(网易云)
East of Eden	Zella Day	East of Eden	wy	29009655	wy:29009655	Sing(网易云)
The Greatest Showman Medley: The Greatest Show / A Million Dreams / Never Enough / Rewrite the Stars / This Is Me	Anthem Lights	The Greatest Showman Medley: The Greatest Show / A Million Dreams / Never Enough / Rewrite the Stars / This Is Me	wy	566519215	wy:566519215	Sing(网易云)
Once Upon a Time	Max Oazo / Moonessa	Once Upon a Time (feat. Moonessa)	wy	1299570939	wy:1299570939	Sing(网易云)
Boom Clap (From the Motion Picture Das Schicksal ist ein mieser Verräter)	Charli xcx	The Fault In Our Stars: Music From The Motion Picture	wy	28566210	wy:28566210	Sing(网易云)
We Won't Be Alone	Feint / Laura Brehm	We Won't Be Alone	wy	34766078	wy:34766078	Sing(网易云)
Faded (Restrung)	Alan Walker	Faded	wy	404184010	wy:404184010	Sing(网易云)
Valder Fields	Tamas Wells	A Plea en Vendredi	wy	2001320	wy:2001320	Sing(网易云)
Take Me to Infinity (Radio Edit)	Consoul Trainin	Take Me to Infinity	wy	431855270	wy:431855270	Sing(网易云)
Frozen Medley: Do You Wanna Build a Snowman? / For the First Time in Forever / Love Is an Open Door / Let It Go	Anthem Lights	Magical Medleys	wy	437802463	wy:437802463	Sing(网易云)
Let Her Go	Passenger	All The Little Lights	wy	18161816	wy:18161816	Sing(网易云)
Stranger Things	Kygo / OneRepublic / Alan Walker	Kids in Love (Remixes)	wy	536243886	wy:536243886	Sing(网易云)
TiK ToK	Kesha	Animal (Expanded Edition)	wy	2918954	wy:2918954	Sing(网易云)
Dumb Ways to Die	Oliver McGill	Dumb Ways To Die	wy	27566312	wy:27566312	Sing(网易云)
Somebody To You	The Vamps	Meet the Vamps	wy	28409210	wy:28409210	Sing(网易云)
Wayward One	Jillian Rae	I Can't Be the One You Want Me to Be	wy	1376653715	wy:1376653715	Sing(网易云)
The Sound of Silence	Disturbed	Immortalized (Deluxe Edition)	wy	34125287	wy:34125287	Sing(网易云)
The Best Days of My Life	Jason Gray	Love Will Have the Final Word	wy	28308340	wy:28308340	Sing(网易云)
Letting Go	Jo De La Rosa	Unscripted	wy	18708516	wy:18708516	Sing(网易云)
River	Bishop Briggs	River	wy	402070513	wy:402070513	Sing(网易云)
